"Country Name","Country Code","Number of Arrivals","Share of Visits"
Albania,ALB,2658000,0.266375
Algeria,DZA,591000,0.0592278
"American Samoa",ASM,900,0.0000901946
Andorra,AND,5207000,0.521826
Angola,AGO,218000,0.0218471
"Antigua and Barbuda",ATG,384500,0.0385331
Argentina,ARG,7339000,0.735487
Armenia,ARM,375000,0.0375811
Aruba,ABW,1951000,0.195522
Australia,AUS,1828000,0.183195
Austria,AUT,15091000,1.51236
Azerbaijan,AZE,796000,0.0797721
Bahamas,BHS,1794500,0.179838
Bahrain,BHR,1909000,0.191313
Bangladesh,BGD,323000,0.0323698
Barbados,BRB,966000,0.0968089
Belarus,BLR,3598000,0.360578
Belgium,BEL,2584000,0.258959
Belize,BLZ,487000,0.0488053
Benin,BEN,337000,0.0337729
Bermuda,BMU,51400,0.00515111
Bhutan,BTN,29800,0.00298644
"Bosnia and Herzegovina",BIH,197000,0.0197426
Botswana,BWA,1830000,0.183396
Brazil,BRA,6353000,0.636674
Bulgaria,BGR,4973000,0.498375
"Burkina Faso",BFA,67000,0.00671449
Burundi,BDI,299000,0.0299646
Cambodia,KHM,1306000,0.130882
Cameroon,CMR,1021000,0.102321
Canada,CAN,32430000,3.25001
"Cape Verde",CPV,180000,0.0180389
"Cayman Islands",CYM,660000,0.0661427
"Central African Republic",CAF,87000,0.00871881
Chad,TCD,10400,0.00104225
Chile,CHL,5431000,0.544274
China,CHN,30402000,3.04677
Colombia,COL,1396000,0.139902
Comoros,COM,7000,0.000701513
"Costa Rica",CRI,1146500,0.114898
Croatia,HRV,21608000,2.16547
Cuba,CUB,1086000,0.108835
Curacao,CUW,1293000,0.12958
Cyprus,CYP,4117000,0.41259
"Czech Republic",CZE,37202000,3.72824
Denmark,DNK,15595000,1.56287
Djibouti,DJI,63000,0.00631362
Dominica,DMA,140000,0.0140303
"Dominican Republic",DOM,2748000,0.275394
Ecuador,ECU,2108000,0.211256
Egypt,EGY,13026000,1.30542
"El Salvador",SLV,707000,0.0708529
Eritrea,ERI,142000,0.0142307
Estonia,EST,1695000,0.169866
Ethiopia,ETH,518000,0.051912
Fiji,FJI,168000,0.0168363
Finland,FIN,896000,0.0897937
France,FRA,117109000,11.7362
"French Polynesia",PYF,89400,0.00895933
Gabon,GAB,526000,0.0527137
Gambia,GMB,246000,0.0246532
Georgia,GEO,1513000,0.151627
Germany,DEU,12449000,1.24759
Ghana,GHA,897000,0.0898939
Greece,GRC,7406000,0.742201
Grenada,GRD,217000,0.0217469
Guam,GUM,328000,0.0328709
Guatemala,GTM,594000,0.0595284
Guinea,GIN,99000,0.0099214
Guinea-Bissau,GNB,52400,0.00525133
Guyana,GUY,86400,0.00865868
Haiti,HTI,938000,0.0940028
Honduras,HND,669000,0.0670446
"Hong Kong",HKG,3569000,0.357672
Hungary,HUN,31641000,3.17094
Iceland,ISL,488000,0.0489055
India,IND,17914000,1.79527
Indonesia,IDN,4053000,0.406176
Iraq,IRQ,892000,0.0893929
Ireland,IRL,10951000,1.09747
Israel,ISR,4905000,0.49156
Italy,ITA,38419000,3.85021
Jamaica,JAM,1329700,0.133257
Japan,JPN,4115800,0.41247
Jordan,JOR,1240000,0.124268
Kazakhstan,KAZ,2035000,0.20394
Kenya,KEN,2049000,0.205343
Kiribati,KIR,12000,0.00120259
Kuwait,KWT,2161000,0.216567
Kyrgyzstan,KGZ,8508000,0.852639
Latvia,LVA,3204000,0.321093
Lebanon,LBN,1936000,0.194019
Lesotho,LSO,1142000,0.114447
Libya,LBY,760000,0.0761643
Liechtenstein,LIE,58400,0.00585263
Lithuania,LTU,2284000,0.228894
Luxembourg,LUX,525000,0.0526135
Madagascar,MDG,87100,0.00872883
Malawi,MWI,871000,0.0872883
Malaysia,MYS,4333000,0.434237
Maldives,MDV,555000,0.05562
Mali,MLI,217000,0.0217469
Malta,MLT,718000,0.0719552
"Marshall Islands",MHL,6100,0.000611319
Mauritania,MRT,30000,0.00300649
Mauritius,MUS,316000,0.0316683
Mexico,MEX,51128000,5.12385
Monaco,MCO,159000,0.0159344
Mongolia,MNG,66900,0.00670446
Montenegro,MNE,351000,0.0351759
Morocco,MAR,2802000,0.280806
Mozambique,MOZ,2033000,0.20374
Namibia,NAM,187100,0.0187505
Nepal,NPL,230000,0.0230497
Netherlands,NLD,7265000,0.728071
"New Caledonia",NCL,31000,0.0031067
"New Zealand",NZL,996000,0.0998153
Nicaragua,NIC,474000,0.0475025
Niger,NER,85000,0.00851838
Nigeria,NGA,5265000,0.527638
"Northern Mariana Islands",MNP,487000,0.0488053
Norway,NOR,1397000,0.140002
Oman,OMN,869000,0.0870879
Pakistan,PAK,966000,0.0968089
Palau,PLW,18400,0.00184398
Panama,PAN,647000,0.0648399
"Papua New Guinea",PNG,39000,0.00390843
Paraguay,PRY,1077000,0.107933
Peru,PER,1119000,0.112142
Philippines,PHL,1483000,0.148621
Poland,POL,88515000,8.87064
Portugal,PRT,4208000,0.42171
"Puerto Rico",PRI,3882000,0.389039
Qatar,QAT,582000,0.0583258
Romania,ROU,5023000,0.503386
Russia,RUS,6359000,0.637275
Rwanda,RWA,1634000,0.163753
"Saint Kitts and Nevis",KNA,301400,0.0302052
"Saint Lucia",LCA,432500,0.0433435
Samoa,WSM,23900,0.00239517
"San Marino",SMR,1904000,0.190812
"Sao Tome and Principe",STP,33400,0.00334722
"Saudi Arabia",SAU,20292000,2.03359
Senegal,SEN,1376000,0.137898
Serbia,SRB,446000,0.0446964
Seychelles,SYC,124500,0.0124769
"Sierra Leone",SLE,71000,0.00711535
Singapore,SGP,2742000,0.274793
Slovakia,SVK,15299000,1.53321
Slovenia,SVN,1216000,0.121863
"Solomon Islands",SLB,4400,0.000440951
"South Africa",ZAF,3886600,0.3895
Spain,ESP,36410000,3.64887
"Sri Lanka",LKA,540000,0.0541168
Sudan,SDN,836000,0.0837808
Suriname,SUR,279000,0.0279603
Sweden,SWE,1957000,0.196123
Switzerland,CHE,11818000,1.18436
Tajikistan,TJK,1035000,0.103724
Thailand,THA,39916000,4.00023
Timor-Leste,TLS,74800,0.00749617
Togo,TGO,482000,0.0483042
Tonga,TON,94000,0.00942032
"Trinidad and Tobago",TTO,141000,0.0141305
Tunisia,TUN,2012000,0.201635
Turkey,TUR,15971000,1.60055
Turkmenistan,TKM,380000,0.0380822
"Turks and Caicos Islands",TCA,370400,0.0371201
Tuvalu,TUV,3600,0.000360778
Uganda,UGA,473000,0.0474023
Ukraine,UKR,3382000,0.338931
"United Arab Emirates",ARE,8084000,0.810148
"United Kingdom",GBR,11101000,1.1125
"United States",USA,45037000,4.51344
Uruguay,URY,3480000,0.348752
Uzbekistan,UZB,6749000,0.676359
Vanuatu,VUT,82400,0.00825782
Yemen,YEM,398000,0.039886
Zambia,ZMB,502000,0.0503085
Zimbabwe,ZWE,639000,0.0640382
