country_name,num_arrivals,share
India,17914000,1.7952731222339071
China,30402000,3.0467731083038547
United States,45037000,4.513437289608602
Indonesia,4053000,0.4061762847166477
Pakistan,966000,0.0968088554246932
Nigeria,5265000,0.5276383269265112
Brazil,6353000,0.636673559537346
Bangladesh,323000,0.0323698346813415
Russia,6359000,0.6372748567760086
Ethiopia,518000,0.0519119949378789
Mexico,51128000,5.123854203057677
Japan,4115800,0.4124698624813172
Egypt,13026000,1.3054163051367018
Philippines,1483000,0.1486206341561284
DR Congo,351000,0.0351758884617674
Vietnam,3837000,0.3845295841247908
Iran,1550000,0.1553351199878618
Turkey,15971000,1.6005530331136393
Germany,12449000,1.2475915540186395
Thailand,39916000,4.000230096409995
United Kingdom,11101000,1.112500107732422
Tanzania,1527000,0.1530301472396548
France,117109000,11.736219720424844
South Africa,3886600,0.3895003079644024
Italy,38419000,3.850206435363653
Kenya,2049000,0.2053430070033089
Myanmar,903000,0.0904952344187349
Colombia,1396000,0.1399018241955194
South Korea,2519000,0.2524446240318864
Sudan,836000,0.0837807485870016
Uganda,473000,0.0474022656479088
Spain,36410000,3.648872076618096
Algeria,591000,0.059227778008275
Iraq,892000,0.0893928561478533
Argentina,7339000,0.7354867390909148
Yemen,398000,0.0398860501646251
Canada,32430000,3.250011574971844
Poland,88515000,8.870637513371348
Morocco,2802000,0.2808058104554766
Angola,218000,0.0218471330047444
Ukraine,3382000,0.3389312101928701
Uzbekistan,6749000,0.6763591772890835
Malaysia,4333000,0.4342368225209065
Mozambique,2033000,0.2037395477002084
Ghana,897000,0.0898939371800722
Peru,1119000,0.1121419350105918
Saudi Arabia,20292000,2.0335872611572205
Madagascar,87100,0.0087288315812533
Ivory Coast,668000,0.0669444259044462
Nepal,230000,0.0230497274820698
Cameroon,1021000,0.1023207467791012
Venezuela,429000,0.0429927525643824
Niger,85000,0.0085183775477214
Australia,1828000,0.1831952253792331
Syria,2424000,0.2429240844197271
Mali,217000,0.0217469167983006
Burkina Faso,67000,0.0067144858317333
Sri Lanka,540000,0.0541167514796421
Malawi,871000,0.0872883158125339
Zambia,502000,0.0503085356347784
Kazakhstan,2035000,0.203939980113096
Chad,10400,0.0010422485470153
Chile,5431000,0.5442742171961791
Romania,5023000,0.503386004967116
Senegal,1376000,0.1378975000666437
Guatemala,594000,0.0595284266276064
Netherlands,7265000,0.7280707398140749
Ecuador,2108000,0.211255763183492
Cambodia,1306000,0.130882365615579
Zimbabwe,639000,0.0640381559175765
Guinea,99000,0.0099214044379343
Benin,337000,0.0337728615715544
Rwanda,1634000,0.1637532813291395
Burundi,299000,0.0299646457266907
Bolivia,323300,0.0323998995432746
Tunisia,2012000,0.201635007364889
Haiti,938000,0.0940028016442673
Belgium,2584000,0.2589586774507322
Jordan,1240000,0.1242680959902894
Dominican Republic,2748000,0.2753941353075124
United Arab Emirates,8084000,0.8101478128915321
Cuba,1086000,0.108834800197947
Honduras,669000,0.06704464211089
Czech Republic,37202000,3.728243312121571
Sweden,1957000,0.196123116010481
Tajikistan,1035000,0.1037237736693141
Papua New Guinea,39000,0.0039084320513074
