"Country Name","Country code",1960,1970,1980,1990,2000,2010,2020
Aruba,ABW,54608,59106,62267,65712,89101,100341,106585
Afghanistan,AFG,8622466,10752971,12486631,10694796,19542982,28189672,38972230
Angola,AGO,5357195,6029700,8330047,11828638,16394062,23364185,33428486
Albania,ALB,1608800,2135479,2671997,3286542,3089027,2913021,2837849
Andorra,AND,9443,19860,35611,53569,66097,71519,77700
"United Arab Emirates",ARE,133426,298084,1014048,1900151,3275333,8481771,9287289
Argentina,ARG,20349744,23842803,28024803,32637657,37070774,40788453,45376763
Armenia,ARM,1904148,2534377,3135123,3556539,3168523,2946293,2805608
"American Samoa",ASM,20085,27075,32886,47818,58230,54849,46189
"Antigua and Barbuda",ATG,55342,64517,64889,63328,75055,85695,92664
Australia,AUS,10276477,12507000,14692000,17065128,19028802,22031750,25649248
Austria,AUT,7047539,7467086,7549433,7677850,8011566,8363404,8916864
Azerbaijan,AZE,3894500,5172050,6160500,7175200,8048600,9054332,10093121
Burundi,BDI,2746628,3497834,4312834,5483793,6307659,9126605,12220227
Belgium,BEL,9153489,9655549,9859242,9967379,10251250,10895586,11538604
Benin,BEN,2512284,3023443,3833939,5133419,6998023,9445710,12643123
"Burkina Faso",BFA,4783259,5611666,6932967,9131361,11882888,16116845,21522626
Bangladesh,BGD,50396429,67541860,83929765,107147651,129193327,148391139,167420951
Bulgaria,BGR,7867374,8489574,8861535,8718289,8170172,7395599,6934015
Bahrain,BHR,160691,222555,362595,517418,711442,1213645,1477469
Bahamas,BHS,114500,179129,223752,270679,325014,373272,406471
"Bosnia and Herzegovina",BIH,3262539,3815561,4199820,4494310,4179350,3811088,3318407
Belarus,BLR,8198000,9040000,9643000,10189348,9979610,9483836,9379952
Belize,BLZ,91403,120905,145133,182589,240406,322106,394921
Bermuda,BMU,44400,55000,54670,59326,61833,65124,63893
"Bolivia, Plurinational State of",BOL,3707515,4585693,5736088,7096194,8592656,10223270,11936162
Brazil,BRA,73092515,96369875,122288383,150706446,175873720,196353492,213196304
Barbados,BRB,232550,241397,253575,258868,264657,274711,280693
"Brunei Darussalam",BRN,85346,133343,187921,261928,333926,396053,441725
Bhutan,BTN,221266,298894,415257,558442,587207,705516,772506
Botswana,BWA,512865,592244,938578,1341474,1726985,2091664,2546402
"Central African Republic",CAF,1679728,2067356,2415276,2809221,3759170,4660067,5343020
Canada,CAN,17909356,21324000,24515667,27691138,30685730,34005902,38028638
Switzerland,CHE,5327827,6180877,6319408,6715519,7184250,7824909,8638167
Chile,CHL,8141820,9820481,11469828,13342868,15351799,17004162,19300315
China,CHN,667070000,818315000,981235000,1135185000,1262645000,1337705000,1411100000
"Côte d'Ivoire",CIV,3708661,5477086,8303810,11910540,16799670,21120042,26811790
Cameroon,CMR,5117608,6452787,8519891,11430520,15091594,19878036,26491087
"Congo, the Democratic Republic of the",COD,15276558,20151733,26708686,35987541,48616317,66391257,92853164
Congo,COG,1055693,1396989,1829256,2385435,3134030,4437884,5702174
Colombia,COL,15687688,20905254,26176195,32601393,39215135,44816108,50930662
Comoros,COM,194852,242351,328328,431119,536758,656024,806166
"Cape Verde",CPV,209849,287262,317234,364563,458251,521212,582640
"Costa Rica",CRI,1346302,1855697,2414303,3158253,3979193,4622252,5123105
Cuba,CUB,7267395,8869636,9809107,10626680,11105791,11290417,11300698
Curaçao,CUW,124826,144739,148041,145400,133860,148703,154947
"Cayman Islands",CYM,8473,10533,17100,26027,39658,54074,67311
Cyprus,CYP,585725,640804,679327,788500,948237,1129686,1237537
"Czech Republic",CZE,9602006,9858071,10304193,10333355,10255063,10474410,10697858
Germany,DEU,72814900,78169289,78288576,79433029,82211508,81776930,83160871
Djibouti,DJI,85940,144379,324121,577173,742033,919199,1090156
Dominica,DMA,59379,68895,72978,69481,68346,68755,71995
Denmark,DNK,4579603,4928757,5123027,5140939,5339616,5547683,5831404
"Dominican Republic",DOM,3298021,4475871,5755800,7129004,8540791,9775755,10999664
Algeria,DZA,11394307,13795915,18739378,25518074,30774621,35856344,43451666
Ecuador,ECU,4618158,6172215,8135845,10449837,12626507,14989585,17588595
Egypt,EGY,27034499,34781986,43748556,57214630,71371371,87252413,107465134
Eritrea,ERI,993568,1272748,1657982,2149960,2392880,3147727,3555868
Spain,ESP,30455000,33814531,37491165,38867322,40567864,46576897,47365655
Estonia,EST,1211537,1360076,1477219,1569174,1396985,1331475,1329522
Ethiopia,ETH,21739710,28308246,34945469,47878073,67031867,89237791,117190911
Finland,FIN,4429634,4606307,4779535,4986431,5176209,5363352,5529543
Fiji,FJI,401841,527634,644582,780430,832509,905169,920422
France,FRA,46649927,51724116,55052582,58044701,60921384,65030575,67571107
"Faroe Islands",FRO,34154,38416,43054,47479,45660,48410,52415
"Micronesia, Federated States of",FSM,42986,58989,76299,98603,111709,107588,112106
Gabon,GAB,513340,597192,749078,983028,1272935,1711105,2292573
"United Kingdom",GBR,52400000,55663250,56314216,57247586,58892514,62766365,67081234
Georgia,GEO,3645600,4119900,4467700,4802000,4077131,3786695,3722716
Ghana,GHA,6911510,8861895,11865246,15446982,19665502,25574719,32180401
Gibraltar,GIB,21822,26685,28734,27317,27741,31262,32709
Guinea,GIN,3516814,4222374,4972609,6354145,8336967,10270728,13205153
Gambia,GMB,399649,528731,718586,1040616,1437539,1937275,2573995
Guinea-Bissau,GNB,577933,591663,831462,973551,1230849,1567220,2015828
"Equatorial Guinea",GNQ,267351,316955,282509,465549,684977,1094524,1596049
Greece,GRC,8331725,8792806,9642505,10196792,10805808,11121341,10698599
Grenada,GRD,93772,98794,94838,99047,107432,114039,123663
Greenland,GRL,32500,46400,50200,55600,56200,56905,56367
Guatemala,GTM,4128880,5455197,6890346,9050115,11589761,14259687,16858333
Guam,GUM,72374,88300,110286,138263,160188,164905,169231
Guyana,GUY,571990,705261,778176,747116,759051,747932,797202
"Hong Kong",HKG,3114671,3959000,5063100,5704500,6665000,7024200,7481000
Honduras,HND,2078617,2782753,3777990,5053234,6656725,8450933,10121763
Croatia,HRV,4140181,4412252,4599782,4777368,4468302,4295427,4047680
Haiti,HTI,3901139,4680812,5646676,6925331,8360225,9842880,11306801
Hungary,HUN,9983967,10337910,10711122,10373988,10210971,10000023,9750149
Indonesia,IDN,88382881,115228394,148177096,182159874,214072421,244016173,271857970
"Isle of Man",IMN,48793,55298,64022,68865,75562,83828,84046
India,IND,445954579,557501301,696828385,870452165,1059633675,1240613620,1396387127
Ireland,IRL,2828600,2957250,3412800,3513974,3805174,4560155,4985382
"Iran, Islamic Republic of",IRN,21388806,28449705,38520664,55793629,65544383,75373855,87290193
Iraq,IRQ,7084678,9811347,13653369,17658381,24628858,31264875,42556984
Iceland,ISL,175574,204438,228138,254826,281205,318041,366463
Israel,ISR,2114020,2974000,3878000,4660000,6289000,7623600,9215100
Italy,ITA,50199700,53821850,56433883,56719240,56942108,59277417,59438851
Jamaica,JAM,1642331,1859091,2135546,2392030,2612205,2733896,2820436
Jordan,JOR,847936,1557374,2216903,3480587,5056174,6931258,10928721
Japan,JPN,93216000,103403000,116807000,123478000,126843000,128070000,126261000
