"Country Name","Country code",2000,2020,"% Change"
Aruba,ABW,2.3,2.3,0
Afghanistan,AFG,1.9,1.9,0
Angola,AGO,62.3,53.4,-14.3
Anguilla,AIA,61.1,61.1,0
Albania,ALB,28.1,28.8,2.5
Andorra,AND,34,34,0
"United Arab Emirates",ARE,4.4,4.5,2.3
Argentina,ARG,12.2,10.4,-14.8
Armenia,ARM,11.7,11.5,-1.7
"American Samoa",ASM,88.7,85.7,-3.4
"Antigua and Barbuda",ATG,21.5,18.5,-14
Australia,AUS,17.2,17.4,1.2
Austria,AUT,46.5,47.3,1.7
Azerbaijan,AZE,12,13.7,14.2
Burundi,BDI,7.6,10.9,43.4
Belgium,BEL,22,22.8,3.6
Benin,BEN,36.7,27.8,-24.3
"Bonaire, Sint Eustatius and Saba",BES,5.9,5.9,0
"Burkina Faso",BFA,26.4,22.7,-14
Bangladesh,BGD,14.8,14.5,-2
Bulgaria,BGR,30.5,35.9,17.7
Bahrain,BHR,0.5,0.9,80
Bahamas,BHS,50.9,50.9,0
"Bosnia and Herzegovina",BIH,41.2,42.7,3.6
"Saint Barthélemy",BLM,8.5,8.5,0
Belarus,BLR,40.8,43.2,5.9
Belize,BLZ,64,56,-12.5
Bermuda,BMU,18.5,18.5,0
"Bolivia, Plurinational State of",BOL,50.9,46.9,-7.9
Brazil,BRA,65.9,59.4,-9.9
Barbados,BRB,14.7,14.7,0
"Brunei Darussalam",BRN,75.3,72.1,-4.2
Bhutan,BTN,65.5,71.4,9
Botswana,BWA,31.1,26.9,-13.5
"Central African Republic",CAF,36.8,35.8,-2.7
Canada,CAN,38.8,38.7,-0.3
Switzerland,CHE,30.3,32.1,5.9
Chile,CHL,21.3,24.5,15
China,CHN,18.8,23.3,23.9
"Côte d'Ivoire",CIV,16,8.9,-44.4
Cameroon,CMR,45.7,43,-5.9
"Congo, the Democratic Republic of the",COD,63.5,55.6,-12.4
Congo,COG,65,64.3,-1.1
"Cook Islands",COK,64.9,65,0.2
Colombia,COL,56.5,53.3,-5.7
Comoros,COM,22.4,17.7,-21
"Cape Verde",CPV,9.9,11.3,14.1
"Costa Rica",CRI,56,59.4,6.1
Cuba,CUB,22.7,31.2,37.4
Curaçao,CUW,0.2,0.2,0
"Cayman Islands",CYM,53.9,53,-1.7
Cyprus,CYP,18.6,18.7,0.5
"Czech Republic",CZE,34.1,34.7,1.8
Germany,DEU,32.5,32.7,0.6
Djibouti,DJI,0.2,0.3,50
Dominica,DMA,63.8,63.8,0
Denmark,DNK,14.3,15.7,9.8
"Dominican Republic",DOM,40.8,44.4,8.8
Algeria,DZA,0.7,0.8,14.3
Ecuador,ECU,55.3,50.3,-9
Egypt,EGY,0.1,0,-100
Eritrea,ERI,9.2,8.7,-5.4
"Western Sahara",ESH,2.5,2.5,0
Spain,ESP,34.3,37.2,8.5
Estonia,EST,52.8,56.1,6.3
Ethiopia,ETH,16.4,15.1,-7.9
Finland,FIN,73.7,73.7,0
Fiji,FJI,55.1,62.4,13.2
France,FRA,27.9,31.5,12.9
"Faroe Islands",FRO,0.1,0.1,0
"Micronesia, Federated States of",FSM,91.2,92,0.9
Gabon,GAB,92,91.3,-0.8
"United Kingdom",GBR,12.2,13.2,8.2
Georgia,GEO,39.7,40.6,2.3
Guernsey,GGY,2.9,5.4,86.2
Ghana,GHA,38.9,35.1,-9.8
Guinea,GIN,28.2,25.2,-10.6
Guadeloupe,GLP,42.8,44.4,3.7
Gambia,GMB,35.3,24,-32
Guinea-Bissau,GNB,76.4,70.4,-7.9
"Equatorial Guinea",GNQ,93.2,87.3,-6.3
Greece,GRC,27.9,30.3,8.6
Grenada,GRD,52.1,52.1,0
Guatemala,GTM,39.3,32.9,-16.3
