,1990,2000,2010,2015,2016,2017,2018,2019,2020
Afghanistan,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44
Albania (Desk study),788.8,769.3,782.07,789.19,789.18,788.9,788.9,788.9,788.9
Algeria,1667,1579,1918,1956,1956,1943,1930,1939,1949
American Samoa,18.07,17.73,17.43,17.28,17.25,17.22,17.19,17.16,17.13
Andorra,16,16,16,16,16,16,16,16,16
Angola,79262.78,77708.61,72158,69382.69,68827.62,68272.57,67717.51,67162.44,66607.38
Anguilla (Desk study),5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
Antigua and Barbuda (Desk study),10.11,9.45,8.78,8.45,8.38,8.32,8.25,8.18,8.12
Argentina,35204,33378,30214,29097,29010,28899,28791,28681,28573
Armenia,334.73,332.64,330.56,329.52,329.31,329.1,328.89,328.68,328.47
Aruba (Desk study),0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42
Australia,133882.2,131814.1,129546.1,133094.5,134037.2,134017.4,134005.1,134005.1,134005.1
Austria,3775.67,3838.14,3863.2,3881.19,3884.79,3888.38,3891.97,3895.56,3899.15
Azerbaijan,944.74,987.22,1032.49,1077.89,1087.48,1097.18,1108.71,1120.24,1131.77
Bahamas,509.86,509.86,509.86,509.86,509.86,509.86,509.86,509.86,509.86
Bahrain (Desk study),0.22,0.37,0.52,0.6,0.62,0.64,0.66,0.68,0.7
Bangladesh,1920.33,1920.33,1888.34,1883.4,1883.4,1883.4,1883.4,1883.4,1883.4
Barbados,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Belarus,7780,8273,8630,8633.5,8709.6,8724.1,8738.6,8753.1,8767.6
Belgium,677.4,667.3,689.87,689.3,689.3,689.3,689.3,689.3,689.3
Belize,1600.03,1459.3,1391.39,1332.83,1321.68,1310.52,1299.37,1288.21,1277.05
Benin,4835.15,4135.15,3635.15,3385.15,3335.15,3285.15,3235.15,3185.15,3135.15
Bermuda (Desk study),1,1,1,1,1,1,1,1,1
Bhutan,2506.72,2606,2705.29,2715.18,2717.16,2719.14,2721.12,2723.1,2725.08
Bolivia (Plurinational State of),57804.72,55101.39,53086.01,52027.22,51750.68,51492.22,51253.24,51033.76,50833.76
"Bonaire, Sint Eustatius and Saba (Desk study)",1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91
Bosnia and Herzegovina (Desk study),2210,2111.65,2102.66,2160.5,2176.51,2187.91,2187.91,2187.91,2187.91
Botswana,18803.7,17620.7,16437.7,15846.2,15727.9,15609.6,15491.3,15373,15254.7
Brazil,588898,551088.6,511580.7,503884.8,502082.1,500091.6,499051.4,497798.5,496619.6
British Virgin Islands (Desk study),3.71,3.67,3.64,3.62,3.62,3.62,3.62,3.62,3.62
Brunei Darussalam,413,397,380,380,380,380,380,380,380
Bulgaria,3327,3375,3737,3833,3841,3854,3867,3880,3893
Burkina Faso,7716.6,7216.5,6716.5,6466.4,6416.4,6366.4,6316.4,6266.4,6216.4
Burundi,276.48,193.94,193.94,279.64,279.64,279.64,279.64,279.64,279.64
Cabo Verde,15.38,39.72,42.72,44.22,44.52,44.82,45.12,45.42,45.72
Cambodia,11004.79,10781,10589.23,8846.82,8691.13,8535.44,8379.75,8224.06,8068.37
Cameroon,22500,21597.49,20900.48,20620.48,20564.48,20508.48,20452.48,20396.48,20340.48
Canada,348272.93,347801.97,347322.21,347115.71,347076.04,347039.05,347002.07,346965.08,346928.1
Cayman Islands (Desk study),13.13,12.93,12.72,12.72,12.72,12.72,12.81,12.72,12.72
Central African Republic,23203,22903,22603,22453,22423,22393,22363,22333,22303
Chad,6730,6353,5530,4890,4769,4651,4535,4422,4313
Chile,15246.05,15817.06,16725.26,17596.08,17719.01,17841.94,17964.87,18087.8,18210.7
China,157140.59,177000.55,200610.38,210294.25,212459.87,214339.47,216219.04,218098.61,219978.18
Colombia,64958.14,62735.5,60807.79,60134.66,59959.49,59739.77,59540.48,59341.2,59141.91
Comoros,46.06,41.68,37.3,35.11,34.67,34.23,33.8,33.36,32.92
Congo,22315,22195,22075,22015,22003,21991,21976,21961,21946
Cook Islands,14.91,15.57,15.59,15.59,15.59,15.59,15.59,15.59,15.59
Costa Rica,2907.4,2857.22,2871.2,2953.03,2969.4,2985.77,3002.13,3018.5,3034.87
Côte d'Ivoire,7850.86,5094.45,3965.58,3401.15,3288.26,3175.37,3062.48,2949.6,2836.71
Croatia,1850,1885,1920,1922,1924.12,1931.61,1934.11,1936.61,1939.11
Cuba,2058,2435,2932,3184,3241,3242,3242,3242,3242
Curaçao (Desk study),0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
Cyprus,161.11,171.61,172.84,172.71,172.61,172.59,172.57,172.55,172.53
Czechia,2629.42,2637.29,2657.38,2668.39,2669.85,2671.66,2673.47,2675.28,2677.09
Democratic People's Republic of Korea (Desk study),6912.03,6454.69,6242.39,6136.24,6115.01,6093.78,6072.55,6051.32,6030.09
Democratic Republic of the Congo,150629,143899,137169,131662.12,130560.74,129459.37,128357.99,127256.61,126155.24
Denmark,531.44,571.6,586.49,624.68,624.66,625.6,626.56,627.5,628.44
Djibouti,5.6,5.6,5.6,5.6,5.6,5.61,5.64,5.7,5.8
Dominica,50.31,47.87,47.87,47.87,47.87,47.87,47.87,47.87,47.87
Dominican Republic,1594.89,1972.47,2073.12,2103.65,2111.74,2119.83,2127.92,2136.01,2144.1
Ecuador,14632.21,13730.5,13028.19,12819.18,12754.91,12690.64,12626.37,12562.1,12497.83
Egypt,43.81,59.21,65.64,48.42,44.98,44.98,44.98,44.98,44.98
El Salvador,718.88,673.88,628.88,606.38,601.88,597.38,592.88,588.38,583.88
Equatorial Guinea,2699.15,2615.58,2532.01,2490.22,2481.86,2473.5,2465.14,2456.78,2448.42
Eritrea,1150.06,1118.46,1086.86,1071.06,1067.9,1064.74,1061.58,1058.42,1055.26
Estonia,2205.9,2238.89,2336.02,2421.01,2421.25,2438.4,2438.4,2438.4,2438.4
Eswatini,461.14,473.28,485.43,491.5,492.72,493.93,495.14,496.35,497.56
