Country,1990,2000,2010,2015,2016,2017,2018,2019,2020,desk_study
Afghanistan,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,False
Albania,788.8,769.3,782.07,789.19,789.18,788.9,788.9,788.9,788.9,True
Algeria,1667.0,1579.0,1918.0,1956.0,1956.0,1943.0,1930.0,1939.0,1949.0,False
American Samoa,18.07,17.73,17.43,17.28,17.25,17.22,17.19,17.16,17.13,False
Andorra,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,False
Angola,79262.78,77708.61,72158.0,69382.69,68827.62,68272.57,67717.51,67162.44,66607.38,False
Anguilla,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,True
Antigua and Barbuda,10.11,9.45,8.78,8.45,8.38,8.32,8.25,8.18,8.12,True
Argentina,35204.0,33378.0,30214.0,29097.0,29010.0,28899.0,28791.0,28681.0,28573.0,False
Armenia,334.73,332.64,330.56,329.52,329.31,329.1,328.89,328.68,328.47,False
Aruba,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,True
Australia,133882.2,131814.1,129546.1,133094.5,134037.2,134017.4,134005.1,134005.1,134005.1,False
Austria,3775.67,3838.14,3863.2,3881.19,3884.79,3888.38,3891.97,3895.56,3899.15,False
Azerbaijan,944.74,987.22,1032.49,1077.89,1087.48,1097.18,1108.71,1120.24,1131.77,False
Bahamas,509.86,509.86,509.86,509.86,509.86,509.86,509.86,509.86,509.86,False
Bahrain,0.22,0.37,0.52,0.6,0.62,0.64,0.66,0.68,0.7,True
Bangladesh,1920.33,1920.33,1888.34,1883.4,1883.4,1883.4,1883.4,1883.4,1883.4,False
Barbados,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,False
Belarus,7780.0,8273.0,8630.0,8633.5,8709.6,8724.1,8738.6,8753.1,8767.6,False
Belgium,677.4,667.3,689.87,689.3,689.3,689.3,689.3,689.3,689.3,False
Belize,1600.03,1459.3,1391.39,1332.83,1321.68,1310.52,1299.37,1288.21,1277.05,False
Benin,4835.15,4135.15,3635.15,3385.15,3335.15,3285.15,3235.15,3185.15,3135.15,False
