"country","MostVisitedNumOfArrivals","MostVisitedDataYear","shareOfVisits"
"India",17914000,2019,1.7952731222339073
"China",30402000,2020,3.0467731083038547
"United States",45037000,2020,4.513437289608602
"Indonesia",4053000,2020,0.4061762847166477
"Pakistan",966000,2012,0.09680885542469322
"Nigeria",5265000,2016,0.5276383269265112
"Brazil",6353000,2019,0.636673559537346
"Bangladesh",323000,2019,0.032369834681341525
"Russia",6359000,2020,0.6372748567760086
"Ethiopia",518000,2020,0.051911994937878986
"Mexico",51128000,2020,5.123854203057677
"Japan",4115800,2020,0.41246986248131723
"Egypt",13026000,2019,1.3054163051367018
"Philippines",1483000,2020,0.14862063415612844
"DR Congo",351000,2016,0.03517588846176742
"Vietnam",3837000,2020,0.3845295841247908
"Iran",1550000,2020,0.1553351199878618
"Turkey",15971000,2020,1.6005530331136393
"Germany",12449000,2020,1.2475915540186397
"Thailand",39916000,2019,4.000230096409995
"United Kingdom",11101000,2020,1.112500107732422
"Tanzania",1527000,2019,0.15303014723965483
"France",117109000,2020,11.736219720424844
"South Africa",3886600,2020,0.38950030796440244
"Italy",38419000,2020,3.850206435363653
"Kenya",2049000,2019,0.20534300700330893
"Myanmar",903000,2020,0.09049523441873498
"Colombia",1396000,2020,0.13990182419551941
"South Korea",2519000,2020,0.2524446240318864
"Sudan",836000,2018,0.0837807485870016
"Uganda",473000,2020,0.0474022656479088
"Spain",36410000,2020,3.648872076618096
"Algeria",591000,2020,0.059227778008275056
"Iraq",892000,2013,0.08939285614785338
"Argentina",7339000,2019,0.7354867390909148
"Yemen",398000,2015,0.03988605016462516
"Canada",32430000,2019,3.250011574971844
"Poland",88515000,2019,8.870637513371348
"Morocco",2802000,2020,0.28080581045547665
"Angola",218000,2019,0.021847133004744435
"Ukraine",3382000,2020,0.3389312101928701
"Uzbekistan",6749000,2019,0.6763591772890835
"Malaysia",4333000,2020,0.43423682252090656
"Mozambique",2033000,2019,0.2037395477002084
"Ghana",897000,2015,0.08989393718007228
"Peru",1119000,2020,0.11214193501059184
"Saudi Arabia",20292000,2019,2.0335872611572205
"Madagascar",87100,2020,0.008728831581253396
"Ivory Coast",668000,2020,0.06694442590444624
"Nepal",230000,2020,0.023049727482069817
"Cameroon",1021000,2019,0.10232074677910122
"Venezuela",429000,2017,0.0429927525643824
"Niger",85000,2020,0.008518377547721456
"Australia",1828000,2020,0.18319522537923316
"Syria",2424000,2019,0.24292408441972713
"Mali",217000,2019,0.021746916798300656
"Burkina Faso",67000,2020,0.006714485831733381
"Sri Lanka",540000,2020,0.05411675147964218
"Malawi",871000,2018,0.08728831581253396
"Zambia",502000,2020,0.050308535634778474
"Kazakhstan",2035000,2020,0.203939980113096
"Chad",10400,2020,0.001042248547015331
"Chile",5431000,2019,0.5442742171961791
"Romania",5023000,2020,0.503386004967116
"Senegal",1376000,2017,0.13789750006664378
"Guatemala",594000,2020,0.0595284266276064
"Netherlands",7265000,2020,0.7280707398140749
"Ecuador",2108000,2019,0.21125576318349204
"Cambodia",1306000,2020,0.13088236561557906
"Zimbabwe",639000,2020,0.06403815591757658
"Guinea",99000,2017,0.009921404437934399
"Benin",337000,2019,0.03377286157155447
"Rwanda",1634000,2019,0.1637532813291395
"Burundi",299000,2017,0.029964645726690765
"Bolivia",323300,2020,0.032399899543274664
"Tunisia",2012000,2020,0.201635007364889
"Haiti",938000,2019,0.09400280164426733
"Belgium",2584000,2020,0.2589586774507322
"Jordan",1240000,2020,0.12426809599028946
"Dominican Republic",2748000,2020,0.27539413530751244
"United Arab Emirates",8084000,2020,0.8101478128915321
"Cuba",1086000,2020,0.10883480019794704
"Honduras",669000,2020,0.06704464211089003
"Czech Republic",37202000,2019,3.728243312121571
"Sweden",1957000,2020,0.196123116010481
"Tajikistan",1035000,2018,0.10372377366931416
"Papua New Guinea",39000,2020,0.003908432051307491
"Portugal",4208000,2020,0.42170979671543385
"Azerbaijan",796000,2020,0.07977210032925032
"Greece",7406000,2020,0.7422012249226481
"Hungary",31641000,2020,3.1709409880877004
"Togo",482000,2020,0.04830421150590284
"Israel",4905000,2019,0.49156049260674983
"Austria",15091000,2020,1.5123627714431114
"Belarus",3598000,2020,0.36057791078472695
"Switzerland",11818000,2019,1.1843551277526134
"Sierra Leone",71000,2019,0.007115350657508509
"Laos",886400,2020,0.0888316453917682
"Turkmenistan",380000,1998,0.03808215844863709
"Hong Kong",3569000,2020,0.3576716407978573
"Libya",760000,2008,0.07616431689727418
"Kyrgyzstan",8508000,2019,0.8526394844236956
"Paraguay",1077000,2020,0.107932854339953
"Nicaragua",474000,2020,0.04750248185435258
"Bulgaria",4973000,2020,0.49837519464492697
"Serbia",446000,2020,0.04469642807392669
"El Salvador",707000,2020,0.07085285795575375
"Republic of the Congo",158000,2018,0.015834160618117526
"Denmark",15595000,2020,1.5628717394907774
"Singapore",2742000,2020,0.27479283806884974
"Lebanon",1936000,2019,0.1940185756751616
"Finland",896000,2020,0.0897937209736285
"Norway",1397000,2020,0.14000204040196318
"Slovakia",15299000,2018,1.5332077423834178
"Central African Republic",87000,2019,0.008718809960609017
"Oman",869000,2020,0.08708788339964639
"Ireland",10951000,2019,1.0974676767658547
"New Zealand",996000,2020,0.09981534161800669
"Mauritania",30000,2000,0.0030064861933134547
"Costa Rica",1146500,2020,0.11489788068779584
"Kuwait",2161000,2020,0.2165672221250125
"Panama",647000,2020,0.06483988556912684
"Croatia",21608000,2020,2.1654717888372375
"Georgia",1513000,2020,0.15162712034944187
"Eritrea",142000,2016,0.014230701315017018
"Mongolia",66900,2020,0.006704464211089003
"Uruguay",3480000,2019,0.34875239842436073
"Puerto Rico",3882000,2020,0.389039313414761
"Bosnia and Herzegovina",197000,2020,0.01974259266942502
"Qatar",582000,2020,0.05832583215028102
"Moldova",29000,2020,0.0029062699868696727
"Namibia",187100,2020,0.01875045222563158
"Armenia",375000,2020,0.037581077416418175
"Lithuania",2284000,2020,0.22889381551759766
"Jamaica",1329700,2020,0.13325748970829668
"Albania",2658000,2020,0.2663746767275721
"Gambia",246000,2020,0.02465318678517033
"Gabon",526000,2005,0.05271372458942923
"Botswana",1830000,2018,0.18339565779212072
"Lesotho",1142000,2019,0.11444690775879883
